"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52"
"1600nM_SYM1",-0.821946300515425,0.0892413353716267,0.00815718906026323,0.00455157469316276,-0.0161518520702342,0.0265373371250473,0.0615460158787983,-0.174948641512029,0.0596887653863413,-0.0879162482665634,-0.0742646508059013,-0.0545764860196578,0.0870983188217427,0.066340608813534,-0.340151951942202,0.0655940393744952,0.0088445238593533,0.0101652158773584,-0.0536591998331492,0.0452341051162503,-0.0163400336243079,0.44610731561345,0.0951785143394587,-0.29671799689235,0.00172968197108874,-0.0567282596962051,0.0754839136256055,0.111525417910127,-0.0254103721525622,0.0147595116651113,0.13329210911966,-0.00486711140568847,-0.036086431754063,0.0657572196948915,-0.421296305643976,0.0489369676603444,-0.238097957136782,-0.0240753686124309,-0.0205119130239129,0.0662707510610982,0.0420973807410136,0.0768730331316474,-0.227250656816182,-0.0140591024559942,-0.635898057317337,-0.267988301307022,0.414921271846733,-0.225946703562248,-0.721485645377617,-0.549852459950511,0.0158023292364347,0.815370605945495
"1600nM_SYM2",-0.849322452430435,0.0632372110405813,3.19608074812877e-05,0.0016312361246379,0.00529263640583356,-0.0140565135616902,-0.0356307379905174,-0.133923677663461,0.0331931313853455,-0.0234849614877772,-0.0405376219392858,0.0140794763593728,0.0718859989558575,0.0310983761379856,-0.23023945263885,0.0710820588283197,-0.00164749402517324,-0.00139140145975718,-0.0327573705646228,0.0305946025924398,-0.00932194778239425,0.362776353420464,0.0542345080186212,-0.309745093355708,0.00710291285959003,-0.0300668024308326,0.0460982733502204,0.0226789305419373,-0.0240688370211546,0.0133148708158021,0.993328736061842,-0.011214116329835,-0.0130193219691953,0.0326175268166505,-0.446430983841806,0.0266313738703783,-0.252321201458183,-0.0111177619420269,-0.012342220169281,0.0363828021763217,0.0208071436109139,0.0624205170595847,-0.227483154109466,-0.0107100966518049,-0.626811988993444,-0.203268918514668,0.393326043311554,-0.225728692502266,-0.69892234170729,-0.546093672751534,0.0425798073728907,0.726744785633181
"1600nM_SYM4",-0.813345551779645,0.0951156151595525,0.00869368976612454,0.001655895150598,-0.0214957179133151,0.0207561308748656,0.00552397555856476,-0.180140535514989,0.0606448521175491,-0.0862042590392347,-0.0810114284022401,-0.0573795439129999,0.0841129879464521,0.0703711335880655,-0.356532816630684,0.0868221522205233,0.00930346503968716,0.0111943862065867,-0.0606883195307705,0.0479183821880385,-0.0162366962293386,0.820770455751607,0.110292536078605,-0.306556066129253,-0.00164531954682333,-0.0563958170881898,0.071712432529641,0.12531759971807,-0.0348557199143641,0.0136382111159116,0.731642017582827,-0.0104560985559796,-0.0348239613472096,0.0706501269305743,-0.385922697718983,0.0540175406967246,-0.243786729920023,-0.0244751303412581,-0.0205927322460584,0.0696219701254702,0.0410425510884713,0.0830131948017137,-0.226766465070924,-0.0168011963858419,-0.669330542786628,-0.283375174602171,0.45833447513412,-0.227696812361103,-0.694298519657937,-0.555474822336551,0.0200111572612746,1.08950297852395
"1600nM_SYM5",-0.872967431670949,0.128833373456916,0.0202178533402003,0.017195843878999,-0.0523174839393112,0.133002398370162,0.582762261001109,-0.234498144706295,0.10459853665444,-0.220262473812388,-0.122871492951522,-0.240874624878023,0.0648756017157214,0.119588120169795,-0.486877716619284,-0.0231252534610486,0.0303681614628444,0.0377408153686408,-0.0812786879412571,0.0741574737095839,-0.0340776761480123,0.077306833158992,0.174232716266194,-0.256434421656626,-0.0176760905394088,-0.0948006498768795,0.113333635162601,0.335146211426138,-0.00580341502648773,0.00525373604814751,0.0101781574471837,0.0330673072479771,-0.0768721416119431,0.125949652077499,-0.46675576933177,0.0818708443630187,-0.102101801090351,-0.0407643231702447,-0.0296579153850315,0.12685180784867,0.0708690826611445,0.0899716926930984,-0.21016452175739,-0.0269347590375994,-0.679580472864742,-0.317736741179709,0.0130415411522512,4.24490036675702,-0.673596718670664,-0.545945927501633,-0.117569121115582,0.575956081031669
"glutamate_1",-0.849685272041195,0.0737438337733884,0.00136764188355583,-0.00293517336098591,-0.000617628506301156,-0.0262782258546156,-0.175550613944109,-0.149087486716353,0.0380963704205805,-0.0221877438249368,-0.0539970509392254,0.0248782706700727,0.0855149521383611,0.0405729492062295,-0.273723491487406,0.112786059621501,-0.00160500613998823,-0.00143473539326505,-0.0438390303437624,0.0347800278880943,-0.0082713513562956,0.828642949002228,0.0697112666301061,-0.300942595400217,0.00729227679552095,-0.0345216669027691,0.051079131519538,0.0230578511764702,-0.0392658216581655,0.0160013849105637,1.09655109629807,-0.0239761998996528,-0.0144404785054291,0.0401454965545537,-0.439441744298636,0.0355318180149859,-0.240110804296008,-0.0143472316973023,-0.0154739119310787,0.0403401316542505,0.0244190505268185,0.0734487323516015,-0.224304807698586,-0.0120517495087982,-0.658489178278297,-0.245958338208411,0.566463129859123,-0.229599268834692,-0.734742691334347,-0.570321794899611,0.0701729957525242,0.792135683637542
"glutamate_2",-0.842175557190417,0.0779993179776333,0.00240837590892883,-0.00234534878781012,-0.00582602677675268,-0.0152900394951173,-0.12122077832376,-0.15363465453085,0.0423117820392752,-0.0355608353335815,-0.0600943309282754,0.000948839120118609,0.0774703773418712,0.0461388020569743,-0.286962888372575,0.105150705872544,0.000828835687000564,0.00215475151357458,-0.0477351849528149,0.0384498493716781,-0.0101130706695913,0.87809741881868,0.0820065959547037,-0.304338800249064,0.00359506366483416,-0.0367644919607897,0.0519695815658277,0.0539101600217245,-0.038758479556193,0.0135350054779817,1.02262582976202,-0.0206037865333661,-0.0178806310425302,0.0474918940084241,-0.447471644940044,0.0398020394146933,-0.242259247179423,-0.0154447975581378,-0.016082082403724,0.0473517956155756,0.0259258972660462,0.0748838784192835,-0.22774694921533,-0.0145628560075601,-0.659411649577194,-0.248547300103202,0.507028142808379,-0.230832467432192,-0.71064844461179,-0.567311519551724,0.0523504216951979,0.709253320474694
"glutamate_3",-0.837147170985061,0.0716118368026963,0.00087467547502992,-0.00257782422136847,-0.000727119644614093,-0.0233140880807143,-0.142774847101915,-0.144296328124175,0.0367580633098023,-0.022469393326392,-0.0521212867392003,0.017481134805407,0.0768694910967099,0.0385751534168939,-0.262399252789202,0.104500879749109,-0.00138770770855339,-0.00063341036006416,-0.0423572078713047,0.0346317545164142,-0.00853610957055355,0.804765981381179,0.0700480930692893,-0.299756971320072,0.005732493635321,-0.0320269426564281,0.0472996396601452,0.0308600113888673,-0.0371751336354755,0.0139920836677724,0.97816222452344,-0.0215017359178417,-0.0136076409056231,0.0397150663097761,-0.450468665902641,0.0344165609085411,-0.24762252616022,-0.0130634938938793,-0.0145441200982382,0.0403089922911109,0.0223077048268041,0.0709776356776551,-0.227162270528401,-0.0129543843369564,-0.64665841327603,-0.233865536983921,0.50880865087196,-0.230738044417847,-0.717346846282307,-0.549494254156743,0.0598486450595839,0.688580785111823
"glutamate_5",-0.853847024363364,0.076721186736964,0.00199423478949587,-0.0036742798202572,-0.0038767442022281,-0.0238442266519598,-0.172257392871221,-0.151823495462196,0.0402733509746396,-0.0266073871766803,-0.0586646963212804,0.0159563321663485,0.0824764528943218,0.0441387108076422,-0.285004046942528,0.11619499871396,-0.000666660832009612,0.000209646743582351,-0.0473399252890545,0.0369044338217312,-0.00869179453402508,0.938234680396747,0.0791188568884784,-0.299043093894978,0.00517082844518466,-0.0350836002861381,0.0512246924962825,0.0367826384217294,-0.0420278479803648,0.0148487704790215,1.23455292865841,-0.0248884442116648,-0.0156403660864953,0.0442256055139169,-0.446343717273186,0.0387984175592575,-0.253005170131341,-0.0150330880005608,-0.0160029002724961,0.0435831313345227,0.0249291936910094,0.0750769918850135,-0.226344702301086,-0.0135548638323777,-0.641372901263764,-0.253062925739622,0.564119698178126,-0.231444834172959,-0.678931325780335,-0.575389208430031,0.0663812574232633,0.754636177192195
"untreated_1",-0.852146356419151,0.0830836831132004,0.00556204284795898,0.00324946786751438,-0.0107883932068337,0.0147731174459592,0.04258229783953,-0.164188914876524,0.0521807180944723,-0.0690091924062112,-0.065800391536598,-0.0392589429722508,0.0781302387308412,0.0563744190291854,-0.310801179845932,0.0682808801261808,0.00584975968131269,0.00749794367796706,-0.0490016837261536,0.0422985247627882,-0.0145620242825066,0.493937656705407,0.0888189757868511,-0.303460725014511,0.00172250578328755,-0.0476467576598005,0.0648998955231082,0.0936412807549281,-0.0266042004251761,0.013045060019434,0.800578206181651,-0.00683947653743763,-0.0288228639339091,0.0576169227856186,-0.452327596111613,0.0435398041034211,-0.239456078432761,-0.0197782103475867,-0.0178964627223744,0.059016469211842,0.0346642614197187,0.0736587869274325,-0.225817826884974,-0.0145978501752346,-0.632490747668379,-0.250575580652718,0.391863760984358,-0.220595384765958,-0.690957245545631,-0.548123642228437,0.0193426590691059,0.768751043700454
"untreated_2",-0.84222139771641,0.0806059322899859,0.00518263085048964,0.0029795763463517,-0.00981928163574621,0.012301662190651,0.0353928729745054,-0.159359782762115,0.0499006811719483,-0.0645589946152315,-0.0632474652377751,-0.0347581809683016,0.076326205574461,0.0539863718827839,-0.301089004788012,0.0685642153467005,0.00528339777376618,0.00681332953384364,-0.0475230512670708,0.0407065070449199,-0.0138926828593513,0.494108635082595,0.0865907595283017,-0.315055418470001,0.0015006193178301,-0.0453910844851268,0.0620952504786104,0.087648819882735,-0.0267366197847603,0.0126538327053551,1.07424934022179,-0.00747370160329702,-0.0268580242498059,0.054976360574757,-0.440404120665859,0.041927127537328,-0.237814859914441,-0.0188296086659456,-0.0170668272936804,0.0565121009069948,0.0329592188664806,0.0719950273300523,-0.225023773586021,-0.0141145226115782,-0.633968585017297,-0.244418117272807,0.389546439866628,-0.221745745207771,-0.64887371264434,-0.561232461904005,0.0208191775958653,0.811477717806309
"untreated_4",-0.807063024954442,0.089523546929337,0.00894559177677153,0.00484086962889124,-0.0192196567742638,0.033162090497985,0.0976818995905201,-0.172755460933154,0.0608337281859008,-0.0941339633444027,-0.0762738487006921,-0.0677947354969354,0.0805984232019189,0.0686590205971619,-0.341577426256175,0.0591266862208464,0.0101870590887799,0.0120964599245917,-0.0550077610553956,0.0459623482273262,-0.0169304536899499,0.458556125638666,0.102426518374709,-0.303829982049765,-0.00109570194780613,-0.0565464935230427,0.0744543182512923,0.127198379364212,-0.0249507356999942,0.0127909700752831,0.699078422970913,-0.00285453487424716,-0.0372587619770623,0.0685764276569791,-0.433930542037846,0.0505752316814248,-0.238457753087323,-0.0242954833316277,-0.0202486460374591,0.0687809675351283,0.0421822587666323,0.0753996400251206,-0.225267177722909,-0.0149073222903477,-0.59393572805779,-0.264834598731325,0.373099190975525,-0.189074211933729,-0.61640827240329,-0.560478661152032,0.00482377918176174,0.826870457140066
"untreated_5",-0.810663672639506,0.0944827524422259,0.010357035072661,0.00520998611613713,-0.0221978870583345,0.0383252417095561,0.0986723366135876,-0.181694592997891,0.0658129820472991,-0.10436123213176,-0.0824934075365893,-0.0749167009019172,0.0874010946261068,0.0750979963514372,-0.364348900659907,0.0615380271212383,0.0116835287277581,0.0135256242380918,-0.0587435073417302,0.0484255139564431,-0.0178973797973361,0.46424141706849,0.107915917643006,-0.30224456077656,-0.000891220294563454,-0.0619704415387778,0.0813831478021357,0.136835780456915,-0.0257724211304717,0.0140484531716225,0.322339233493999,-0.00299916442966718,-0.0414823231451262,0.0739531412921893,-0.435426552451821,0.0545375813039033,-0.248049360586402,-0.0269492382310524,-0.022158221688616,0.0734411561118237,0.0466878879319964,0.0786993300184778,-0.225672911235929,-0.0149329416500273,-0.603909516543226,-0.280733498161916,0.403917656333514,-0.211357961398114,-0.639133003039884,-0.564072657028784,0.00571247788138012,0.813222918983715
"A1_Kaplan_12_13_19_S1",1.74972471550678,-0.133562321911164,-0.00417605439712744,0.00128549454220057,0.00298606506962475,0.0251847729173698,0.158095831353003,0.250237300724883,-0.0746481728305745,0.058723029730291,0.100179078924894,-0.0102415192953935,-0.143425672153585,-0.0740601371624786,0.48185176349074,-0.161492461849059,-0.00230924111451271,-0.0126370096794713,0.0801105488619473,-0.0657282180610746,0.0154830484136062,-0.975077227491084,-0.137410412052714,-0.264463472414543,-0.00725722100737403,0.0628185746933976,-0.0916418566455105,-0.0665736690480798,0.0604821856980779,-0.0240956631492226,-1.13707292569785,0.0335688301651648,0.027958949100429,-0.0684220483737318,-0.50624447918826,-0.0625022898304894,-0.279163863694778,0.0300887675944684,0.0258133086405905,-0.0725491066991895,-0.0406992692870869,-0.117418380122604,-0.228066201792951,0.0284443687494498,2.2815857587595,0.41702823998629,-0.86971185175705,-0.231046202397307,0.686302125335795,0.740626957785955,-0.0975171548050816,-1.13576672981318
"B1_Kaplan_12_13_19_S2",1.280000612652,-0.116135798469507,-0.00676915839143559,0.00235403850643948,0.013802485742127,0.0135860436931641,0.18556819487587,0.212787625994147,-0.0671077894402842,0.0671362048483198,0.0959090680652712,0.00197955351575246,-0.12621008579258,-0.0749164333138506,0.427351512625426,-0.151900392532772,-0.00584808757959118,-0.0132630535410909,0.0746184062663362,-0.0557063686483212,0.0130396900130421,-1.04359407815937,-0.127191815164627,0.118079731368648,-0.00109987998868682,0.0591078524786837,-0.0814259673716381,-0.0756579905031608,0.0571561327527561,-0.020076812858591,-1.13706772179325,0.0341221571868263,0.0265206237894935,-0.0650858019636952,-0.51654325050061,-0.0605676187102293,-0.266608259598563,0.028940670778065,0.0236078033803403,-0.0663487347953163,-0.0396264794650167,-0.103955325419905,-0.227939035309343,0.0219082829611181,2.01217952445816,0.365625941738353,-0.809457037175329,-0.224622120816198,0.465193515981918,0.415851997507019,-0.0844184871192037,-1.14291417990365
"C1_Kaplan_12_13_19_S3",0.659497757529091,-0.108211151388554,-0.0174960143295777,0.00180091157052514,0.0444477966326923,-0.0369574304988677,0.143025567591965,0.182056359828937,-0.0770224395894028,0.12768134563809,0.115298420460735,0.0714978392417967,-0.113058406019272,-0.104190889798576,0.434765819860045,-0.130154368668509,-0.0186939682935619,-0.0218444263760499,0.0828752841357581,-0.0492796041327704,0.0137793459133955,-1.10915979602864,-0.149609219992132,0.337577711591815,0.0109869633085297,0.0718709433658444,-0.0890070671563414,-0.150151081492131,0.0540901387041553,-0.0152125660405427,-1.13707294125156,0.030425382746738,0.0431933313857206,-0.0862739550592322,-0.580510887851146,-0.0744365986960784,-0.0945706481085525,0.0378899362433931,0.026580415856878,-0.0780032945635691,-0.0560212030665747,-0.0882515951836986,-0.220520623696507,0.0124723888289978,1.26388516325404,0.344756929994299,-0.756152622706934,-0.227341120861204,-0.121217074712589,1.90025334962444,-0.0512537935229037,-1.23620324351219
"D1_Kaplan_12_13_19_S4",0.831898072469836,-0.121626458321166,-0.0182207058378695,0.000645916013337553,0.042635659070597,-0.0365478097788598,0.17676346729328,0.207913635696786,-0.0861560256325414,0.136283707529012,0.123749495286379,0.0662068420953264,-0.136198935996657,-0.112323614703142,0.485208574524747,-0.142368348001185,-0.0190307708499685,-0.0219089197739559,0.0896910895757292,-0.0536698317655828,0.0150621277532968,-1.04819619050319,-0.154278512894142,-0.0410086871608182,0.00553689986270207,0.0820615450925275,-0.10278809249909,-0.147078761963892,0.0571677528829188,-0.0204201936331928,-1.13707294149637,0.0322013273581282,0.0492949767433492,-0.0940312536919147,-0.566758961909617,-0.0789356370212178,-0.187211314911761,0.042580038310929,0.0303264857511109,-0.0843481235559243,-0.064692945076339,-0.0976536801865918,-0.224551891877042,0.0125514282772631,1.48412979666069,0.38802816730724,-0.875644018734599,-0.229021236836654,0.120673178041134,3.11989210865799,-0.069280752452006,-1.22782800415481
"WT1",1.42475385420874,-0.159739784358932,-0.0133278333954695,-0.0121640043426288,0.0245205548596827,-0.0598308152831422,-0.268974987191532,0.324724112068819,-0.106964161383765,0.155318401955876,0.116828101798146,0.133487527841447,-0.134307010698881,-0.108450253163107,0.592985129394232,-0.0661123468108544,-0.0132487897373266,-0.0135989540052003,0.0869908337160938,-0.0849055650161413,0.0339410855739707,-0.666958038689073,-0.151428430276618,-0.239515565471958,-0.0137744006527985,0.105732752845131,-0.137901198111268,-0.234283631314713,0.0286920309707072,-0.0274655127057305,-1.13707294335861,-0.0176913813854423,0.0780866612489725,-0.128674190603007,2.53785637738391,-0.0801564675735662,-0.280220694732115,0.0390940945165462,0.0371996468226338,-0.127852482752973,-0.078876122349,-0.131441496633552,-0.206971734491903,0.0289444444309186,0.0645298441349926,0.448186409781723,-0.458770712112952,-0.229600248395504,2.34953788617575,-0.150296162481838,0.0161433010404376,-1.14252788813799
"WT2",1.45983497670916,-0.132911638207727,-0.00661752204753859,-0.00738233469824896,0.00971634094998718,-0.0239193122459238,-0.190848790452284,0.269918490638833,-0.0804095595745861,0.0946243942207186,0.0888349946146844,0.0807274160022428,-0.104922748617698,-0.076471110018898,0.479238240993892,-0.073053045723749,-0.00503337438207182,-0.0074370644229357,0.0707949972744871,-0.0707148351889107,0.0261558734191731,-0.741593453798831,-0.130926567672496,-0.249052136132115,-0.011017974220167,0.0741110016847449,-0.100566453481223,-0.166049178173057,0.0324901048108588,-0.0209775442499398,-1.13707294237635,-0.00853578495183533,0.0523898635292151,-0.0963441370360642,2.12284520704889,-0.0614529534045031,-0.266206068595933,0.0264460263564037,0.0273184334586289,-0.0981077277728683,-0.0533017110090252,-0.112400468119622,4.24828307955191,0.0284828951076133,0.200167748671325,0.377207252615741,-0.401483427814056,-0.225469135301739,1.80640023719904,-0.0525393009824159,-0.000509064466035977,-1.16216322189116
"WT3",0.86476168276969,-0.138228092000106,-0.00998484922238129,-0.014180078724929,0.0404501481933777,-0.0950515698969728,-0.472523831290824,0.29603596637962,-0.0928553193685715,0.199724482705097,0.13038434826125,0.165707031615635,-0.0796506964727452,-0.119345546494264,0.527625566338362,-0.0633179920767133,-0.0208928191037136,-0.0138840896628572,0.0812636907102488,-0.0788896509883652,0.0360749311049144,-0.744471418436036,-0.181010818543085,4.17380458359067,0.0290695006151586,0.0794595860771899,-0.103280709947684,-0.299906511723012,0.0312376874923007,-0.00292096581368796,-1.13707294166712,-0.00462371205199708,0.0484214416958092,-0.121283747009069,1.29313400616191,-0.0898215001990285,-0.0743320129600022,0.0266327110215132,0.0297332391690753,-0.132914753780207,-0.0580533954974392,-0.144520222492437,-0.213115817481678,0.0202891215860822,0.00589874089885208,0.391713438869647,-0.284170134740966,-0.211697168536094,0.976220751969636,0.700273601158737,0.0923360419078328,-1.21271735682236
"WT4",1.78205954086069,-0.113784380436952,0.0027992160424386,-0.0021417664825663,-0.0208138951959872,0.0374612365231029,-0.00783274140456977,0.256678224468006,-0.0591294939678688,0.0172651181377559,0.0601941646272257,-0.0131495289880402,-0.114986587292948,-0.0411836774033718,0.410681521745313,-0.108116494071529,0.00801518844596831,0.00663489159041031,0.053586079176486,-0.0611694493945415,0.0213351183522637,-0.738495618932278,-0.088719481982511,-0.237296440162591,-0.0249819380614194,0.0527807518674608,-0.0844225667522539,-0.0449022568458087,0.030113570673395,-0.0267126317010994,-1.1370729446807,0.00514024398311786,0.0309270990354035,-0.0615603064791163,1.4824423290731,-0.0427122416789084,4.23139635199496,0.0165014909707346,0.021998620192693,-0.0683378519527617,-0.0376205056465678,-0.110777292162271,-0.228112557975297,0.0270887150026777,0.369481204806575,0.361818651164199,-0.529080196280385,-0.22134300702344,1.94223414706476,0.0197285306217145,-0.0657756769967399,-1.11238193094576
